State Name,County Name,State Date,AQI,Category
Tennessee,Davidson,2017-01-02,22,Good
Tennessee,Davidson,2017-01-03,25,Good
Tennessee,Davidson,2017-01-04,20,Good
Tennessee,Davidson,2017-01-05,27,Good
Tennessee,Davidson,2017-01-06,43,Good
Tennessee,Davidson,2017-01-07,51,Moderate
Tennessee,Davidson,2017-01-08,54,Moderate
Tennessee,Davidson,2017-01-09,33,Good
Tennessee,Davidson,2017-01-10,32,Good
Tennessee,Davidson,2017-01-11,30,Good
Tennessee,Davidson,2017-01-12,33,Good
Tennessee,Davidson,2017-01-13,25,Good
Tennessee,Davidson,2017-01-14,29,Good
Tennessee,Davidson,2017-01-15,36,Good
Tennessee,Davidson,2017-01-16,35,Good
Tennessee,Davidson,2017-01-17,30,Good
Tennessee,Davidson,2017-01-18,30,Good
Tennessee,Davidson,2017-01-19,36,Good
Tennessee,Davidson,2017-01-20,28,Good
Tennessee,Davidson,2017-01-21,31,Good
Tennessee,Davidson,2017-01-22,25,Good
Tennessee,Davidson,2017-01-23,45,Good
Tennessee,Davidson,2017-01-24,37,Good
Tennessee,Davidson,2017-01-25,40,Good
Tennessee,Davidson,2017-01-26,26,Good
Tennessee,Davidson,2017-01-27,32,Good
Tennessee,Davidson,2017-01-28,35,Good
Tennessee,Davidson,2017-01-29,26,Good
Tennessee,Davidson,2017-01-30,40,Good
Tennessee,Davidson,2017-01-31,50,Good
Tennessee,Davidson,2017-02-01,39,Good
Tennessee,Davidson,2017-02-02,22,Good
Tennessee,Davidson,2017-02-03,31,Good
Tennessee,Davidson,2017-02-04,34,Good
Tennessee,Davidson,2017-02-05,50,Good
Tennessee,Davidson,2017-02-06,54,Moderate
Tennessee,Davidson,2017-02-07,33,Good
Tennessee,Davidson,2017-02-08,55,Moderate
Tennessee,Davidson,2017-02-09,30,Good
Tennessee,Davidson,2017-02-10,43,Good
Tennessee,Davidson,2017-02-11,54,Moderate
Tennessee,Davidson,2017-02-12,44,Good
Tennessee,Davidson,2017-02-13,43,Good
Tennessee,Davidson,2017-02-14,45,Good
Tennessee,Davidson,2017-02-15,38,Good
Tennessee,Davidson,2017-02-16,42,Good
Tennessee,Davidson,2017-02-17,43,Good
Tennessee,Davidson,2017-02-18,62,Moderate
Tennessee,Davidson,2017-02-19,68,Moderate
Tennessee,Davidson,2017-02-20,70,Moderate
Tennessee,Davidson,2017-02-21,56,Moderate
